source_dataset,external_dataset,variant,seed,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
APTOS,MESSIDOR2,adaptive_feather,42,0,1017,1017,707,0,20,1.0,0.589907192575406,0.027510316368638238
APTOS,MESSIDOR2,adaptive_feather,42,1,270,0,1,270,1473,0.0,0.0,0.9993215739484396
APTOS,MESSIDOR2,adaptive_feather,42,2,347,2,2,345,1395,0.005763688760806916,0.5,0.9985683607730852
APTOS,MESSIDOR2,adaptive_feather,42,3,75,9,3,66,1666,0.12,0.75,0.9982025164769323
APTOS,MESSIDOR2,adaptive_feather,42,4,35,2,1,33,1708,0.05714285714285714,0.6666666666666666,0.9994148624926857
