dataset,variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
APTOS,hard_mask,2024,hold_out,0,Bright,16,1.0,0.2,,0.027328424155712128,0.027941126376390457,0.0017281670588999987
APTOS,hard_mask,2024,hold_out,0,Dark,96,0.9583333333333334,0.19574468085106383,0.0,0.05950250290334224,0.15910153090953827,0.06199184060096741
APTOS,hard_mask,2024,hold_out,0,ExtremelyDark,55,0.9818181818181818,0.1981651376146789,0.0,0.08366210677407004,0.11619656533002853,0.039254676550626755
APTOS,hard_mask,2024,hold_out,0,Normal,166,0.9939759036144579,0.19939577039274925,0.0,0.05751023306904069,0.0912732481956482,0.024884028360247612
APTOS,hard_mask,2024,hold_out,0,VeryDark,27,0.9629629629629629,0.19622641509433963,0.0,0.09709172557901453,0.1402580887079239,0.05251002311706543
APTOS,hard_mask,2024,hold_out,1,Bright,4,0.25,0.08,0.0,0.4530577063560486,1.568912148475647,0.8931152820587158
APTOS,hard_mask,2024,hold_out,1,Dark,36,0.5555555555555556,0.14285714285714285,0.0,0.16617487205399406,0.8845008015632629,0.5103598833084106
APTOS,hard_mask,2024,hold_out,1,ExtremelyDark,5,0.0,0.0,0.0,0.6374002933502197,1.919677734375,1.0938400030136108
APTOS,hard_mask,2024,hold_out,1,Normal,18,0.5555555555555556,0.14285714285714285,0.0,0.17630681892236072,1.088137149810791,0.6133494973182678
APTOS,hard_mask,2024,hold_out,1,VeryDark,11,0.5454545454545454,0.1411764705882353,0.0,0.28719064864245325,0.867413341999054,0.48458585143089294
APTOS,hard_mask,2024,hold_out,2,Bright,17,0.9411764705882353,0.19393939393939394,0.0,0.16462634942110846,0.29649993777275085,0.14124329388141632
APTOS,hard_mask,2024,hold_out,2,Dark,78,0.7692307692307693,0.17391304347826086,0.0,0.13121825494827366,0.6667912006378174,0.36389002203941345
APTOS,hard_mask,2024,hold_out,2,ExtremelyDark,23,0.9565217391304348,0.19555555555555554,0.0,0.2614119584145753,0.394733190536499,0.17247071862220764
APTOS,hard_mask,2024,hold_out,2,Normal,54,0.8148148148148148,0.17959183673469387,0.0,0.165340980997792,0.6160780787467957,0.31934961676597595
APTOS,hard_mask,2024,hold_out,2,VeryDark,26,0.6923076923076923,0.16363636363636364,0.0,0.21114199436627903,0.8003537654876709,0.4467971622943878
APTOS,hard_mask,2024,hold_out,3,Bright,2,0.0,0.0,0.0,0.6957415640354156,2.442138910293579,1.233090877532959
APTOS,hard_mask,2024,hold_out,3,Dark,14,0.5,0.13333333333333333,0.0,0.49143161731106894,1.709342122077942,0.8641696572303772
APTOS,hard_mask,2024,hold_out,3,ExtremelyDark,6,0.0,0.0,0.0,0.6066091458002726,2.3450889587402344,1.2604295015335083
APTOS,hard_mask,2024,hold_out,3,Normal,9,0.4444444444444444,0.12307692307692308,0.0,0.4599603447649214,1.8190449476242065,0.9079785943031311
APTOS,hard_mask,2024,hold_out,3,VeryDark,8,0.5,0.13333333333333333,0.0,0.25833820179104805,1.0867233276367188,0.5898697376251221
APTOS,hard_mask,2024,hold_out,4,Bright,2,0.5,0.13333333333333333,0.0,0.538517028093338,1.2589442729949951,0.7540090084075928
APTOS,hard_mask,2024,hold_out,4,Dark,25,0.32,0.09696969696969697,0.0,0.33296949744224547,1.5030784606933594,0.830852746963501
APTOS,hard_mask,2024,hold_out,4,ExtremelyDark,7,0.2857142857142857,0.08888888888888888,0.0,0.5252912172249385,1.7503435611724854,0.8907532095909119
APTOS,hard_mask,2024,hold_out,4,Normal,14,0.21428571428571427,0.07058823529411765,0.0,0.4868271861757551,1.852163314819336,1.0159480571746826
APTOS,hard_mask,2024,hold_out,4,VeryDark,10,0.7,0.16470588235294117,0.0,0.19601125717163087,0.7491591572761536,0.4349842965602875
