brightness_category,inside_energy,outside_energy,border_ratio,peripheral_attention
Bright,0.49973428525625824,0.500265722586847,0.405427341345339,0.31106816212351235
Dark,0.5567805809760737,0.44321941766383827,0.3841587911271606,0.28902799146393987
ExtremelyDark,0.5631793532465401,0.4368206571269182,0.3580948992186949,0.2725692655136772
Normal,0.5953934464411381,0.4046065580031132,0.3644279810817862,0.29470631740355324
VeryDark,0.6178127688367345,0.36999210340875777,0.33544439190296504,0.25610877671503707
