accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier,dataset,variant,seed,split,brightness_category,n
0.4761491760624458,0.4604773981321525,0.4863625007319977,0.46366605803702965,0.6209039867478383,0.7571552471812663,0.03479748911968233,1.1723511219024658,0.6337687373161316,EYEPACS,fixed_feather,2024,hold_out,Bright,1153
0.5049115913555993,0.47233106645305883,0.5079126139758734,0.4819614148178385,0.6732932765168399,0.7819253438113949,0.044348131404175976,1.127259373664856,0.6138994693756104,EYEPACS,fixed_feather,2024,hold_out,Dark,1018
0.49819059107358266,0.502350913998502,0.5025993117491182,0.5059187673492999,0.6557631954001797,0.7708082026537998,0.03305475156758749,1.1437137126922607,0.6209108829498291,EYEPACS,fixed_feather,2024,hold_out,ExtremelyDark,829
0.5297131147540983,0.5123013320676991,0.5299368309497562,0.5238420953457955,0.6938807920096047,0.7879098360655737,0.041531502803573844,1.0978286266326904,0.5946304798126221,EYEPACS,fixed_feather,2024,hold_out,Normal,976
0.4504310344827586,0.4441848797594307,0.4584540815908167,0.44704290239591915,0.6009309616546705,0.7607758620689655,0.027095210385219805,1.1547085046768188,0.6420930624008179,EYEPACS,fixed_feather,2024,hold_out,VeryBright,464
0.5143824027072758,0.4958796468881245,0.5230189806397583,0.4944964798773516,0.7061532839501633,0.805414551607445,0.05481856224298881,1.0901477336883545,0.5953059196472168,EYEPACS,fixed_feather,2024,hold_out,VeryDark,591
