source_dataset,external_dataset,variant,seed,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
EYEPACS,MESSIDOR2,fixed_feather,42,0,1017,1,0,1016,727,0.0009832841691248771,1.0,1.0
EYEPACS,MESSIDOR2,fixed_feather,42,1,270,19,127,251,1347,0.07037037037037037,0.13013698630136986,0.9138398914518318
EYEPACS,MESSIDOR2,fixed_feather,42,2,347,44,361,303,1036,0.12680115273775217,0.10864197530864197,0.7415891195418755
EYEPACS,MESSIDOR2,fixed_feather,42,3,75,71,1060,4,609,0.9466666666666667,0.0627763041556145,0.3648891551827442
EYEPACS,MESSIDOR2,fixed_feather,42,4,35,10,51,25,1658,0.2857142857142857,0.16393442622950818,0.9701579871269749
