dataset,variant,seed,split,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
EYEPACS,no_mask,2024,hold_out,0,2057,1051,567,1006,2407,0.5109382596013612,0.6495673671199012,0.8093476798924009
EYEPACS,no_mask,2024,hold_out,1,698,290,984,408,3349,0.4154727793696275,0.22762951334379905,0.7729056081237018
EYEPACS,no_mask,2024,hold_out,2,1222,462,524,760,3285,0.3780687397708674,0.4685598377281947,0.8624310842740877
EYEPACS,no_mask,2024,hold_out,3,531,299,331,232,4169,0.5630885122410546,0.4746031746031746,0.9264444444444444
EYEPACS,no_mask,2024,hold_out,4,523,336,187,187,4321,0.6424474187380497,0.6424474187380497,0.9585181898846495
