dataset,variant,seed,split,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
APTOS,fixed_feather,2024,hold_out,0,360,352,9,8,360,0.9777777777777777,0.9750692520775623,0.975609756097561
APTOS,fixed_feather,2024,hold_out,1,74,37,25,37,630,0.5,0.5967741935483871,0.9618320610687023
APTOS,fixed_feather,2024,hold_out,2,198,165,74,33,457,0.8333333333333334,0.6903765690376569,0.8606403013182674
APTOS,fixed_feather,2024,hold_out,3,39,11,15,28,675,0.28205128205128205,0.4230769230769231,0.9782608695652174
APTOS,fixed_feather,2024,hold_out,4,58,28,13,30,658,0.4827586206896552,0.6829268292682927,0.9806259314456036
