brightness_category,inside_energy,outside_energy,border_ratio,peripheral_attention
Bright,0.5223306222378429,0.4776693778722971,0.37462642410797375,0.2898826492840287
Dark,0.5566609641013063,0.44333903400355373,0.35079331916081097,0.26257004025555586
ExtremelyDark,0.6260733754447715,0.37392663461396686,0.282533045833343,0.21260219052535298
Normal,0.611659081712943,0.3883409205550424,0.2908229093179072,0.2330154367537067
VeryDark,0.6397904663891337,0.3602095297586596,0.30383106921599184,0.2318451060426226
