true_label,inside_energy,outside_energy,border_ratio,peripheral_attention,central_retinal_energy,outside_to_inside_ratio,retina_area_ratio,border_area_ratio
0,0.5778006173840387,0.3936841403525425,0.35265774502797775,0.20184605114653642,0.39829446404995716,295032.8627977488,0.27003888299420065,0.42808149069046675
1,0.5122469456443536,0.4210863910792098,0.36331187813324206,0.22027591038066005,0.34909903615171733,370406.8871144753,0.2728122933201058,0.42616002265085334
2,0.49077991422744727,0.4631105752841899,0.41678334887482343,0.24685086319884333,0.3103365948259846,2.4674507064572215,0.271088994405399,0.4273572539356812
3,0.5085911502918614,0.4780755240910545,0.440301069996576,0.2596434311869145,0.31717666705015446,2.2225559601054696,0.26872395833333335,0.4289605445614158
4,0.6111112688437325,0.38888873865990825,0.39355686425835906,0.22475700189816422,0.4272074338324998,1.5575572240247162,0.26623371446793004,0.43086383002313583
