dataset,variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
EYEPACS,hard_mask,42,hold_out,0,Bright,472,0.6186440677966102,0.15287958115183248,0.0,0.15401681814090173,0.9274527430534363,0.5201379060745239
EYEPACS,hard_mask,42,hold_out,0,Dark,421,0.6318289786223278,0.1548762736535662,0.0,0.14687606748945636,0.9026451706886292,0.5061314105987549
EYEPACS,hard_mask,42,hold_out,0,ExtremelyDark,332,0.641566265060241,0.1563302752293578,0.0,0.1356650354811944,0.879150927066803,0.5050238370895386
EYEPACS,hard_mask,42,hold_out,0,Normal,381,0.6220472440944882,0.1533980582524272,0.0,0.14112295511513556,0.9302634000778198,0.5204206109046936
EYEPACS,hard_mask,42,hold_out,0,VeryBright,205,0.6780487804878049,0.16162790697674417,0.0,0.20906285265596902,0.9079150557518005,0.5146526098251343
EYEPACS,hard_mask,42,hold_out,0,VeryDark,246,0.6666666666666666,0.16,0.0,0.1534267865060791,0.8186143040657043,0.46471771597862244
EYEPACS,hard_mask,42,hold_out,1,Bright,156,0.28846153846153844,0.08955223880597016,0.0,0.1565469619937432,1.236702561378479,0.7138528227806091
EYEPACS,hard_mask,42,hold_out,1,Dark,139,0.39568345323741005,0.1134020618556701,0.0,0.139535331468788,1.1555992364883423,0.6728775501251221
EYEPACS,hard_mask,42,hold_out,1,ExtremelyDark,119,0.35294117647058826,0.10434782608695652,0.0,0.1877396453578933,1.1646766662597656,0.6903175115585327
EYEPACS,hard_mask,42,hold_out,1,Normal,131,0.42748091603053434,0.11978609625668449,0.0,0.13200294414094385,1.1578112840652466,0.6686305999755859
EYEPACS,hard_mask,42,hold_out,1,VeryBright,75,0.37333333333333335,0.1087378640776699,0.0,0.17822126229604082,1.178450584411621,0.6951576471328735
EYEPACS,hard_mask,42,hold_out,1,VeryDark,78,0.23076923076923078,0.075,0.0,0.2655394287445606,1.2816333770751953,0.7745769619941711
EYEPACS,hard_mask,42,hold_out,2,Bright,284,0.3767605633802817,0.10946291560102302,0.0,0.18043488452971823,1.364316701889038,0.7559197545051575
EYEPACS,hard_mask,42,hold_out,2,Dark,233,0.3562231759656652,0.10506329113924051,0.0,0.14503366797522926,1.4290646314620972,0.7745990753173828
EYEPACS,hard_mask,42,hold_out,2,ExtremelyDark,214,0.29439252336448596,0.09097472924187726,0.0,0.18042600064355635,1.4315738677978516,0.7934836745262146
EYEPACS,hard_mask,42,hold_out,2,Normal,238,0.3277310924369748,0.09873417721518987,0.0,0.15425105192581143,1.3910771608352661,0.7628539204597473
EYEPACS,hard_mask,42,hold_out,2,VeryBright,114,0.3333333333333333,0.1,0.0,0.21651109883136915,1.4645497798919678,0.7965364456176758
EYEPACS,hard_mask,42,hold_out,2,VeryDark,139,0.302158273381295,0.09281767955801104,0.0,0.19066483747187277,1.4349865913391113,0.7866963148117065
EYEPACS,hard_mask,42,hold_out,3,Bright,130,0.5384615384615384,0.13999999999999999,0.0,0.09576003562945587,1.2609028816223145,0.5999943017959595
EYEPACS,hard_mask,42,hold_out,3,Dark,98,0.5,0.13333333333333333,0.0,0.11810043727865024,1.2561897039413452,0.6320211291313171
EYEPACS,hard_mask,42,hold_out,3,ExtremelyDark,84,0.5119047619047619,0.13543307086614173,0.0,0.1803798063525132,1.2209830284118652,0.5907272696495056
EYEPACS,hard_mask,42,hold_out,3,Normal,115,0.6521739130434783,0.15789473684210525,0.0,0.12367350873739823,1.0354894399642944,0.481894314289093
EYEPACS,hard_mask,42,hold_out,3,VeryBright,37,0.5945945945945946,0.14915254237288136,0.0,0.16539973906568578,1.1045466661453247,0.5545414090156555
EYEPACS,hard_mask,42,hold_out,3,VeryDark,67,0.5671641791044776,0.14476190476190476,0.0,0.13924092187810297,1.1935603618621826,0.6057376861572266
EYEPACS,hard_mask,42,hold_out,4,Bright,111,0.5405405405405406,0.14035087719298245,0.0,0.11220146272633529,1.2114124298095703,0.5807653069496155
EYEPACS,hard_mask,42,hold_out,4,Dark,127,0.6692913385826772,0.16037735849056606,0.0,0.1476913124440223,0.9119471311569214,0.45007970929145813
EYEPACS,hard_mask,42,hold_out,4,ExtremelyDark,80,0.6375,0.15572519083969466,0.0,0.17238032054156063,1.0794531106948853,0.4588175415992737
EYEPACS,hard_mask,42,hold_out,4,Normal,111,0.6396396396396397,0.15604395604395604,0.0,0.08671318437602069,0.9118242859840393,0.44007962942123413
EYEPACS,hard_mask,42,hold_out,4,VeryBright,33,0.3939393939393939,0.11304347826086955,0.0,0.27694950139883795,1.3073333501815796,0.6510926485061646
EYEPACS,hard_mask,42,hold_out,4,VeryDark,61,0.5737704918032787,0.14583333333333331,0.0,0.12228923669604004,1.0355994701385498,0.5078513622283936
