dataset,variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
EYEPACS,fixed_feather,123,hold_out,0,Bright,472,0.4745762711864407,0.12873563218390804,0.0,0.08076455434626442,1.0386176109313965,0.5979340076446533
EYEPACS,fixed_feather,123,hold_out,0,Dark,421,0.5771971496437055,0.1463855421686747,0.0,0.11498321546794683,0.9785966873168945,0.5519599318504333
EYEPACS,fixed_feather,123,hold_out,0,ExtremelyDark,332,0.5301204819277109,0.13858267716535433,0.0,0.07344463795243976,0.9791397452354431,0.5703449249267578
EYEPACS,fixed_feather,123,hold_out,0,Normal,381,0.5800524934383202,0.146843853820598,0.0,0.11379682149474075,0.9720404744148254,0.5501148104667664
EYEPACS,fixed_feather,123,hold_out,0,VeryBright,205,0.4682926829268293,0.12757475083056477,0.0,0.06937029783318682,1.0456453561782837,0.6056802272796631
EYEPACS,fixed_feather,123,hold_out,0,VeryDark,246,0.573170731707317,0.14573643410852713,0.0,0.11714034600228798,0.9309689402580261,0.5334740877151489
EYEPACS,fixed_feather,123,hold_out,1,Bright,156,0.41025641025641024,0.11636363636363636,0.0,0.039586532192352496,1.1562082767486572,0.6524015665054321
EYEPACS,fixed_feather,123,hold_out,1,Dark,139,0.41007194244604317,0.11632653061224489,0.0,0.09332002324166058,1.1398835182189941,0.6496950387954712
EYEPACS,fixed_feather,123,hold_out,1,ExtremelyDark,119,0.42016806722689076,0.1183431952662722,0.0,0.13150559403315312,1.1252226829528809,0.6493988633155823
EYEPACS,fixed_feather,123,hold_out,1,Normal,131,0.4580152671755725,0.1256544502617801,0.0,0.11467664489764293,1.1109269857406616,0.6456071734428406
EYEPACS,fixed_feather,123,hold_out,1,VeryBright,75,0.52,0.1368421052631579,0.0,0.1321484839916229,1.0744647979736328,0.6237420439720154
EYEPACS,fixed_feather,123,hold_out,1,VeryDark,78,0.358974358974359,0.10566037735849057,0.0,0.13156989675301772,1.151516079902649,0.678021252155304
EYEPACS,fixed_feather,123,hold_out,2,Bright,284,0.3485915492957746,0.10339425587467363,0.0,0.12679042278880803,1.3534053564071655,0.7446518540382385
EYEPACS,fixed_feather,123,hold_out,2,Dark,233,0.34334763948497854,0.10223642172523961,0.0,0.12438971571656254,1.3985236883163452,0.7706987857818604
EYEPACS,fixed_feather,123,hold_out,2,ExtremelyDark,214,0.308411214953271,0.09428571428571428,0.0,0.14091429532131297,1.4170634746551514,0.7756027579307556
EYEPACS,fixed_feather,123,hold_out,2,Normal,238,0.3697478991596639,0.10797546012269939,0.0,0.12005924608777552,1.3733432292938232,0.74589604139328
EYEPACS,fixed_feather,123,hold_out,2,VeryBright,114,0.2982456140350877,0.0918918918918919,0.0,0.16772046815930752,1.4751522541046143,0.807399332523346
EYEPACS,fixed_feather,123,hold_out,2,VeryDark,139,0.4172661870503597,0.11776649746192894,0.0,0.1698199648865693,1.307498812675476,0.7140958309173584
EYEPACS,fixed_feather,123,hold_out,3,Bright,130,0.5461538461538461,0.14129353233830846,0.0,0.07727835728571965,1.2772172689437866,0.6166212558746338
EYEPACS,fixed_feather,123,hold_out,3,Dark,98,0.41836734693877553,0.11798561151079137,0.0,0.14364701615912576,1.370397925376892,0.6616800427436829
EYEPACS,fixed_feather,123,hold_out,3,ExtremelyDark,84,0.5595238095238095,0.1435114503816794,0.0,0.10933067010981697,1.2595136165618896,0.5994231104850769
EYEPACS,fixed_feather,123,hold_out,3,Normal,115,0.5130434782608696,0.13563218390804596,0.0,0.15445227137078413,1.2136709690093994,0.5862173438072205
EYEPACS,fixed_feather,123,hold_out,3,VeryBright,37,0.5675675675675675,0.14482758620689656,0.0,0.1826707189147537,1.1513526439666748,0.5946356058120728
EYEPACS,fixed_feather,123,hold_out,3,VeryDark,67,0.43283582089552236,0.12083333333333332,0.0,0.13541749609050466,1.361728310585022,0.6540932655334473
EYEPACS,fixed_feather,123,hold_out,4,Bright,111,0.5135135135135135,0.13571428571428573,0.0,0.13738860981958406,1.380493402481079,0.6345139741897583
EYEPACS,fixed_feather,123,hold_out,4,Dark,127,0.6614173228346457,0.15924170616113745,0.0,0.07436200729974611,0.9346394538879395,0.4531315267086029
EYEPACS,fixed_feather,123,hold_out,4,ExtremelyDark,80,0.6125,0.15193798449612403,0.0,0.10019863396883014,1.1257827281951904,0.5016053915023804
EYEPACS,fixed_feather,123,hold_out,4,Normal,111,0.6666666666666666,0.16,0.0,0.12457541758949693,0.8983643651008606,0.42581576108932495
EYEPACS,fixed_feather,123,hold_out,4,VeryBright,33,0.5454545454545454,0.1411764705882353,0.0,0.2587680414770589,1.1654317378997803,0.5460391640663147
EYEPACS,fixed_feather,123,hold_out,4,VeryDark,61,0.639344262295082,0.156,0.0,0.15260153105024432,0.9501439332962036,0.44769251346588135
