source_dataset,external_dataset,variant,seed,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
APTOS,MESSIDOR2,no_mask,42,0,1017,1014,655,3,72,0.9970501474926253,0.6075494307968844,0.09903713892709766
APTOS,MESSIDOR2,no_mask,42,1,270,0,1,270,1473,0.0,0.0,0.9993215739484396
APTOS,MESSIDOR2,no_mask,42,2,347,19,34,328,1363,0.05475504322766571,0.3584905660377358,0.9756621331424481
APTOS,MESSIDOR2,no_mask,42,3,75,5,6,70,1663,0.06666666666666667,0.45454545454545453,0.9964050329538646
APTOS,MESSIDOR2,no_mask,42,4,35,4,6,31,1703,0.11428571428571428,0.4,0.9964891749561147
