source_dataset,external_dataset,variant,seed,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
APTOS,MESSIDOR2,fixed_feather,2024,Bright,306,0.39215686274509803,0.201119104716227,0.23111549975705706,0.2712643678160919,0.0803254983129662,0.5751633986928104,0.4876541948688575,2.4016406536102295,1.0349574089050293
APTOS,MESSIDOR2,fixed_feather,2024,Dark,650,0.6507692307692308,0.2387762547782703,0.5258569035734643,0.24469539852376693,0.14173800423287108,0.7369230769230769,0.22952015615426574,1.4450178146362305,0.5975261926651001
APTOS,MESSIDOR2,fixed_feather,2024,ExtremelyDark,106,0.7924528301886793,0.18064516129032257,0.7157638466220329,0.2,0.26887383997993475,0.8490566037735849,0.10070169112592373,0.9267736673355103,0.3612360954284668
APTOS,MESSIDOR2,fixed_feather,2024,Normal,380,0.46842105263157896,0.20051451994453054,0.3221673952756514,0.24449078671521568,0.17861492638103393,0.5868421052631579,0.3857287226146773,2.2167611122131348,0.8902695775032043
APTOS,MESSIDOR2,fixed_feather,2024,VeryBright,13,0.3076923076923077,0.10666666666666666,0.1641025641025641,0.25,0.5161290322580645,0.3076923076923077,0.5229450945670788,2.6153249740600586,1.1170836687088013
APTOS,MESSIDOR2,fixed_feather,2024,VeryDark,289,0.7612456747404844,0.2512448786637252,0.673286826456357,0.2540641711229946,0.1774223915475175,0.8269896193771626,0.13463139822738807,1.0342847108840942,0.4192386269569397
