brightness_category,inside_energy,outside_energy,border_ratio,peripheral_attention
Bright,0.6244333930585853,0.3426091081619206,0.3395102468158026,0.2185074814030751
Dark,0.6190910857156727,0.32491677425015575,0.31821232448084824,0.1987216189378422
ExtremelyDark,0.6025899516471512,0.33589014096239905,0.3300337244826305,0.20571133958967522
Normal,0.6282519341453916,0.3287152794825489,0.30654710049664186,0.19115047045256062
VeryBright,0.6815937142307763,0.2817683556798415,0.32645927129182006,0.2154190888496732
VeryDark,0.6324655642583028,0.32861734607434057,0.30755350107473156,0.18792342108617208
