source_dataset,external_dataset,variant,seed,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
EYEPACS,MESSIDOR2,hard_mask,42,0,1017,600,216,417,511,0.5899705014749262,0.7352941176470589,0.7028885832187071
EYEPACS,MESSIDOR2,hard_mask,42,1,270,38,152,232,1322,0.14074074074074075,0.2,0.8968792401628223
EYEPACS,MESSIDOR2,hard_mask,42,2,347,153,310,194,1087,0.4409221902017291,0.3304535637149028,0.7780959198282033
EYEPACS,MESSIDOR2,hard_mask,42,3,75,51,87,24,1582,0.68,0.3695652173913043,0.9478729778310365
EYEPACS,MESSIDOR2,hard_mask,42,4,35,22,115,13,1594,0.6285714285714286,0.16058394160583941,0.9327091866588648
