source_dataset,external_dataset,variant,seed,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
EYEPACS,MESSIDOR2,hard_mask,42,Bright,306,0.45751633986928103,0.3876966686565235,0.43299854238896823,0.4535577015810583,0.5082722069111724,0.7712418300653595,0.0770032832435533,1.1865787506103516,0.6599360704421997
EYEPACS,MESSIDOR2,hard_mask,42,Dark,650,0.5061538461538462,0.37798248734631035,0.5308839138491025,0.5132641867502176,0.3550511703313406,0.7953846153846154,0.07857243863435892,1.1517349481582642,0.6287930011749268
EYEPACS,MESSIDOR2,hard_mask,42,ExtremelyDark,106,0.4811320754716981,0.2645238095238095,0.5660826594788859,0.36238095238095236,0.38552084255243824,0.7358490566037735,0.08951510713910157,1.2703200578689575,0.678016185760498
EYEPACS,MESSIDOR2,hard_mask,42,Normal,380,0.46842105263157896,0.3832066341257263,0.46245327245204787,0.45270976182594846,0.5128181469412729,0.781578947368421,0.03598951967923264,1.136136770248413,0.6249849200248718
EYEPACS,MESSIDOR2,hard_mask,42,VeryBright,13,0.6153846153846154,0.5333333333333333,0.5897435897435896,0.7083333333333333,0.6666666666666667,0.8461538461538461,0.25259920954704285,1.0196388959884644,0.5470017790794373
EYEPACS,MESSIDOR2,hard_mask,42,VeryDark,289,0.5467128027681661,0.3810885657220323,0.6048539760516489,0.5974372686137392,0.22633498882452885,0.7439446366782007,0.1297822083156414,1.2395005226135254,0.646124005317688
