variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
adaptive_feather,42,hold_out,0,Bright,16,1.0,0.2,,0.013899624347686768,0.014039099216461182,0.00039418524829670787
adaptive_feather,42,hold_out,0,Dark,96,0.9583333333333334,0.19574468085106383,0.0,0.04471635818481445,0.1749468445777893,0.07463497668504715
adaptive_feather,42,hold_out,0,ExtremelyDark,55,0.9636363636363636,0.1962962962962963,0.0,0.09351917505264282,0.1849256455898285,0.0828448235988617
adaptive_feather,42,hold_out,0,Normal,166,0.9939759036144579,0.19939577039274925,0.0,0.04880230380109994,0.08320631831884384,0.028418084606528282
adaptive_feather,42,hold_out,0,VeryDark,27,0.9259259259259259,0.19230769230769232,0.0,0.05730583270390828,0.1762283444404602,0.09032245725393295
adaptive_feather,42,hold_out,1,Bright,4,0.5,0.13333333333333333,0.0,0.5143088102340698,1.2579079866409302,0.7157106399536133
adaptive_feather,42,hold_out,1,Dark,36,0.8055555555555556,0.17846153846153848,0.0,0.20332544131411448,0.6413965821266174,0.35017549991607666
adaptive_feather,42,hold_out,1,ExtremelyDark,5,0.2,0.06666666666666667,0.0,0.6211474776268007,1.8511714935302734,1.0270917415618896
adaptive_feather,42,hold_out,1,Normal,18,0.6111111111111112,0.15172413793103448,0.0,0.19139452113045585,0.8977317810058594,0.5129859447479248
adaptive_feather,42,hold_out,1,VeryDark,11,0.5454545454545454,0.1411764705882353,0.0,0.2975266738371415,0.7772249579429626,0.48097723722457886
adaptive_feather,42,hold_out,2,Bright,17,0.9411764705882353,0.19393939393939394,0.0,0.24689773251028624,0.45326727628707886,0.22676822543144226
adaptive_feather,42,hold_out,2,Dark,78,0.717948717948718,0.16716417910447762,0.0,0.1927029589811961,0.864131510257721,0.47933149337768555
adaptive_feather,42,hold_out,2,ExtremelyDark,23,0.782608695652174,0.17560975609756097,0.0,0.28397267538568244,0.6216800808906555,0.3339410126209259
adaptive_feather,42,hold_out,2,Normal,54,0.7222222222222222,0.16774193548387098,0.0,0.1842958441487065,0.8511115312576294,0.44995060563087463
adaptive_feather,42,hold_out,2,VeryDark,26,0.6538461538461539,0.15813953488372093,0.0,0.24645463262613004,0.834662675857544,0.4778374135494232
adaptive_feather,42,hold_out,3,Bright,2,0.0,0.0,0.0,0.6719025671482086,2.22322940826416,1.217716932296753
adaptive_feather,42,hold_out,3,Dark,14,0.42857142857142855,0.12,0.0,0.366214707493782,1.527462124824524,0.7939209342002869
adaptive_feather,42,hold_out,3,ExtremelyDark,6,0.16666666666666666,0.05714285714285714,0.0,0.656296948591868,1.9842203855514526,1.1213961839675903
adaptive_feather,42,hold_out,3,Normal,9,0.2222222222222222,0.07272727272727272,0.0,0.5702907840410868,2.461446762084961,1.1990129947662354
adaptive_feather,42,hold_out,3,VeryDark,8,0.375,0.10909090909090909,0.0,0.3644731193780899,1.3712975978851318,0.7230323553085327
adaptive_feather,42,hold_out,4,Bright,2,0.5,0.13333333333333333,0.0,0.316725417971611,0.6540167927742004,0.36761099100112915
adaptive_feather,42,hold_out,4,Dark,25,0.6,0.15,0.0,0.18597942233085632,0.9984654188156128,0.5538219213485718
adaptive_feather,42,hold_out,4,ExtremelyDark,7,0.2857142857142857,0.08888888888888888,0.0,0.3933279003415789,1.7714569568634033,0.907174289226532
adaptive_feather,42,hold_out,4,Normal,14,0.5714285714285714,0.14545454545454545,0.0,0.31529401881354197,1.2417271137237549,0.6680943369865417
adaptive_feather,42,hold_out,4,VeryDark,10,0.6,0.15,0.0,0.32100329995155336,1.171674370765686,0.6320565938949585
