variant,seed,split,class,brightness_category,n,accuracy,macro_F1,QWK,ECE,NLL,Brier
fixed_feather,42,hold_out,0,Bright,16,1.0,0.2,,0.027075227349996567,0.02762414701282978,0.0014729921240359545
fixed_feather,42,hold_out,0,Dark,96,0.9583333333333334,0.19574468085106383,0.0,0.048947370921572045,0.15551625192165375,0.06515392661094666
fixed_feather,42,hold_out,0,ExtremelyDark,55,0.9818181818181818,0.1981651376146789,0.0,0.08956190781159834,0.14378125965595245,0.054334115236997604
fixed_feather,42,hold_out,0,Normal,166,0.9939759036144579,0.19939577039274925,0.0,0.04687542082315468,0.07338675856590271,0.01824476569890976
fixed_feather,42,hold_out,0,VeryDark,27,0.9629629629629629,0.19622641509433963,0.0,0.0992223013330389,0.12753330171108246,0.04637496918439865
fixed_feather,42,hold_out,1,Bright,4,0.5,0.13333333333333333,0.0,0.5018239617347717,1.3942303657531738,0.7748510241508484
fixed_feather,42,hold_out,1,Dark,36,0.6944444444444444,0.1639344262295082,0.0,0.17339623719453812,0.8149952292442322,0.4646681547164917
fixed_feather,42,hold_out,1,ExtremelyDark,5,0.0,0.0,0.0,0.6208797335624695,2.2269768714904785,1.1810710430145264
fixed_feather,42,hold_out,1,Normal,18,0.5555555555555556,0.14285714285714285,0.0,0.30265707936551833,1.1649752855300903,0.641101598739624
fixed_feather,42,hold_out,1,VeryDark,11,0.5454545454545454,0.1411764705882353,0.0,0.29591176455671137,0.990679144859314,0.5850724577903748
fixed_feather,42,hold_out,2,Bright,17,0.9411764705882353,0.19393939393939394,0.0,0.18653883127605217,0.2546222507953644,0.10796091705560684
fixed_feather,42,hold_out,2,Dark,78,0.6410256410256411,0.15625,0.0,0.16287346126941538,0.7602288722991943,0.41258081793785095
fixed_feather,42,hold_out,2,ExtremelyDark,23,1.0,0.2,,0.3031092467515365,0.3956466317176819,0.17040865123271942
fixed_feather,42,hold_out,2,Normal,54,0.8148148148148148,0.17959183673469387,0.0,0.22408188962274128,0.6902607083320618,0.3487717807292938
fixed_feather,42,hold_out,2,VeryDark,26,0.6538461538461539,0.15813953488372093,0.0,0.19488010039696324,0.7515116333961487,0.4192749559879303
fixed_feather,42,hold_out,3,Bright,2,0.0,0.0,0.0,0.6589505076408386,2.082642078399658,1.1603208780288696
fixed_feather,42,hold_out,3,Dark,14,0.42857142857142855,0.12,0.0,0.3464922479220799,1.5604312419891357,0.8127878308296204
fixed_feather,42,hold_out,3,ExtremelyDark,6,0.0,0.0,0.0,0.6326437095801034,2.216864824295044,1.2070739269256592
fixed_feather,42,hold_out,3,Normal,9,0.0,0.0,0.0,0.7207949658234915,2.6082394123077393,1.3219703435897827
fixed_feather,42,hold_out,3,VeryDark,8,0.625,0.15384615384615385,0.0,0.5300867967307568,1.2266550064086914,0.7279313802719116
fixed_feather,42,hold_out,4,Bright,2,0.5,0.13333333333333333,0.0,0.5252043008804321,0.9975472688674927,0.6200275421142578
fixed_feather,42,hold_out,4,Dark,25,0.32,0.09696969696969697,0.0,0.3217212653160095,1.357568621635437,0.7806823253631592
fixed_feather,42,hold_out,4,ExtremelyDark,7,0.42857142857142855,0.12,0.0,0.5562158908162798,2.334883451461792,1.0183799266815186
fixed_feather,42,hold_out,4,Normal,14,0.2857142857142857,0.08888888888888888,0.0,0.3576889825718743,1.5340884923934937,0.8175603747367859
fixed_feather,42,hold_out,4,VeryDark,10,0.5,0.13333333333333333,0.0,0.37613653540611275,1.208264708518982,0.6828166246414185
