source_dataset,external_dataset,variant,seed,brightness_category,n,accuracy,macro_F1,weighted_F1,balanced_accuracy,QWK,top2_accuracy,ECE,NLL,Brier
EYEPACS,MESSIDOR2,hard_mask,123,Bright,306,0.42483660130718953,0.35420824306614246,0.4035608547269416,0.4103917339575826,0.42889622233344926,0.7418300653594772,0.0784562393730762,1.2017831802368164,0.6775142550468445
EYEPACS,MESSIDOR2,hard_mask,123,Dark,650,0.4338461538461538,0.37860350659606984,0.46038191346733026,0.5140530468256168,0.2979844342446618,0.7707692307692308,0.02695479461779961,1.1947615146636963,0.6592544317245483
EYEPACS,MESSIDOR2,hard_mask,123,ExtremelyDark,106,0.44339622641509435,0.2525733031766408,0.5192522262859173,0.3549206349206349,0.3716979370857838,0.7452830188679245,0.14291966847091353,1.2936575412750244,0.7108560800552368
EYEPACS,MESSIDOR2,hard_mask,123,Normal,380,0.4868421052631579,0.4069350261988027,0.47881045090167934,0.4674401727589414,0.47828400465844745,0.7684210526315789,0.06663835307485179,1.1407711505889893,0.6268647313117981
EYEPACS,MESSIDOR2,hard_mask,123,VeryBright,13,0.6153846153846154,0.5476190476190477,0.6007326007326006,0.7708333333333333,0.6666666666666667,0.8461538461538461,0.1789951645410978,0.9700279235839844,0.5337249040603638
EYEPACS,MESSIDOR2,hard_mask,123,VeryDark,289,0.4913494809688581,0.34064595449799073,0.5549966386069738,0.5387741670094612,0.24222612084286332,0.7612456747404844,0.07628876414266011,1.2227554321289062,0.6559017300605774
