source_dataset,external_dataset,variant,seed,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
APTOS,MESSIDOR2,adaptive_feather,123,0,1017,1010,689,7,38,0.9931170108161259,0.594467333725721,0.052269601100412656
APTOS,MESSIDOR2,adaptive_feather,123,1,270,0,8,270,1466,0.0,0.0,0.994572591587517
APTOS,MESSIDOR2,adaptive_feather,123,2,347,3,11,344,1386,0.008645533141210375,0.21428571428571427,0.9921259842519685
APTOS,MESSIDOR2,adaptive_feather,123,3,75,11,11,64,1658,0.14666666666666667,0.5,0.9934092270820851
APTOS,MESSIDOR2,adaptive_feather,123,4,35,1,0,34,1709,0.02857142857142857,1.0,1.0
