brightness_category,inside_energy,outside_energy,border_ratio,peripheral_attention,central_retinal_energy,outside_to_inside_ratio,retina_area_ratio,border_area_ratio
Bright,0.27286870556924087,0.7271312913988082,0.45716021015692904,0.28913349213489126,0.16063270032228655,3.9823426400557524,0.2778721514647526,0.42272871832912035
Dark,0.2759311448928188,0.7240688515978856,0.48164980195473467,0.30261722019207365,0.16405431338427434,4.557809784828067,0.27273915816326527,0.42619509302491654
ExtremelyDark,0.2858320708377855,0.7141679304198428,0.44658495907075935,0.27304091398064156,0.17257403170799918,3.695952353980558,0.26575548409222177,0.4310596288022882
Normal,0.2992002161238116,0.6981682027150048,0.4543447092901768,0.28356512132117967,0.18150870381982287,3.791791134317342,0.27507830331968314,0.42458845733837464
VeryBright,0.1845548340875885,0.8154451411972491,0.5840422415142615,0.38853856973917744,0.0899899786167537,6.343846187011925,0.28162866709183676,0.4203755436355455
VeryDark,0.2688933169600834,0.7311066901171821,0.487078890343512,0.3062355757511252,0.16080125321693348,5.203670440587502,0.2700204622290093,0.42805707434880763
