source_dataset,external_dataset,variant,seed,class,support,TP,FP,FN,TN,sensitivity,precision,specificity
EYEPACS,MESSIDOR2,adaptive_feather,2024,0,1017,481,188,536,539,0.4729596853490659,0.71898355754858,0.7414030261348006
EYEPACS,MESSIDOR2,adaptive_feather,2024,1,270,53,175,217,1299,0.1962962962962963,0.2324561403508772,0.8812754409769336
EYEPACS,MESSIDOR2,adaptive_feather,2024,2,347,184,415,163,982,0.5302593659942363,0.3071786310517529,0.7029348604151754
EYEPACS,MESSIDOR2,adaptive_feather,2024,3,75,49,138,26,1531,0.6533333333333333,0.2620320855614973,0.9173157579388855
EYEPACS,MESSIDOR2,adaptive_feather,2024,4,35,13,48,22,1661,0.37142857142857144,0.21311475409836064,0.9719133996489175
